GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "10000","Delaware",2,CAINC4,71,"..."," Farm proprietors' income","Thousands of dollars",46224,24637,28316,38950,86084,71488,81139,72622,44099,42073,34022,-8084,22058,43626,57701,75393,83220,124147,93989,159348,169016,114678,107668,92295,81399,94409,56342,88082,59975,107396,109317,112874,176327,45482,137270,217276,261079,173905,170680,191124,259288,228374,201128,241703,391020,455398,330358,282598,469530,498572
 "10000","Delaware",2,CAINC4,72,"..."," Nonfarm proprietors' income","Thousands of dollars",187589,186403,205607,232762,242845,254002,270685,318238,323696,354029,368608,376594,376684,362725,390992,478587,530818,518759,568345,588960,648609,746158,888443,1015206,974823,1013947,987022,985685,1048722,1604834,2523983,3276316,4889218,5169578,4744974,4215160,3365634,3410071,3075893,1751366,2479229,2495391,3603290,2894760,2769300,2786115,3369095,3396882,3308866,3502032
 "10000","Delaware",2,CAINC4,7010,"...","Total employment","Number of jobs",270578,274587,280122,292813,304918,301531,292148,295771,296352,304289,311835,311674,313583,316547,325291,339928,356873,370177,386540,402702,414670,420105,414316,413155,420651,424325,442453,452685,464460,476426,491018,503458,502735,500640,504099,518103,528674,537109,544949,544911,525634,522400,530400,534261,544797,556517,568879,578596,586045,595526
 "10000","Delaware",2,CAINC4,7020,"..."," Wage and salary employment","Number of jobs",243740,246895,252535,263282,275413,272254,262267,266472,266852,273526,280537,280480,281055,281896,289250,302742,316232,326639,343962,356311,367268,370346,363825,363117,369912,376628,387425,395285,406061,417879,429712,437114,435790,431374,431320,440381,445858,450363,451163,450700,428633,426000,429319,433059,441311,450718,459147,464103,466924,472353
 "10000","Delaware",2,CAINC4,7040,"..."," Proprietors employment","Number of jobs",26838,27692,27587,29531,29505,29277,29881,29299,29500,30763,31298,31194,32528,34651,36041,37186,40641,43538,42578,46391,47402,49759,50491,50038,50739,47697,55028,57400,58399,58547,61306,66344,66945,69266,72779,77722,82816,86746,93786,94211,97001,96400,101081,101202,103486,105799,109732,114493,119121,123173
 "10998","Delaware (Metropolitan Portion)",2,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",2441193,2599931,2844088,3124948,3462300,3747067,4029225,4403982,4741121,5201590,5716943,6430508,7094131,7634123,8131632,8972541,9733839,10356846,11194189,12256360,13630691,14367121,15196277,15854345,16466756,17165308,18171954,19433856,20342252,22502296,24170220,26663812,29402432,30386818,31094568,32376705,33303111,35265500,36340552,35993238,36284168,36725658,39825621,40338442,40949449,42888279,45150728,46042107,48188958,50783109
 "10998","Delaware (Metropolitan Portion)",2,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",2386125,2565566,2806469,3076526,3367105,3665553,3938136,4321057,4686275,5141803,5663689,6418729,7052663,7569610,8054036,8877491,9630734,10214104,11081530,12076373,13439999,14227635,15064969,15739565,16360526,17046057,18087248,19315637,20249531,22362908,24032264,26518358,29193166,30301284,30921501,32124565,33013869,35060186,36133297,35768412,35992438,36466435,39597638,40051826,40512989,42384493,44780933,45713594,47677877,50243282
 "10998","Delaware (Metropolitan Portion)",2,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",55068,34365,37619,48422,95195,81514,91089,82925,54846,59787,53254,11779,41468,64513,77596,95050,103105,142742,112659,179987,190692,139486,131308,114780,106230,119251,84706,118219,92721,139388,137956,145454,209266,85534,173067,252140,289242,205314,207255,224826,291730,259223,227983,286616,436460,503786,369795,328513,511081,539827
 "10998","Delaware (Metropolitan Portion)",2,CAINC4,20,"...","Population (persons) 3/","Number of persons",540000,550332,565207,573821,579078,583150,588756,592755,594821,598188,598830,594919,595974,599148,605459,611565,618279,627559,636946,647621,658274,669567,683080,694925,706378,717545,729734,740977,751487,763335,774990,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899595,907316,915188,923638,932596,941413,949216,957078,967171
 "10998","Delaware (Metropolitan Portion)",2,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",4521,4724,5032,5446,5979,6426,6844,7430,7971,8696,9547,10809,11903,12742,13431,14671,15743,16503,17575,18925,20707,21457,22247,22814,23312,23922,24902,26227,27069,29479,31188,33907,36952,37693,38013,38970,39405,41041,41687,40722,40690,40825,43894,44077,44335,45988,47961,48505,50350,52507
 "10998","Delaware (Metropolitan Portion)",2,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",2055087,2170506,2397895,2665096,3007459,3211128,3408212,3727098,3989642,4429211,4852561,5330535,5756173,6210532,6700236,7375694,8067563,8578245,9384036,10307246,11283926,11902882,12426602,13000603,13362918,13984601,14703509,15674708,16728363,18597249,20613193,22518510,25074167,25776614,26269634,27150896,27785406,29110592,29371426,28224890,27964277,28256447,30528151,30602136,31222581,32653340,34249637,34313848,35517613,36813834
 "10998","Delaware (Metropolitan Portion)",2,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",139397,147229,167646,195970,252916,281577,292891,324777,351162,401329,459943,510379,590625,647494,703393,779375,864829,933211,1016326,1149214,1261986,1311929,1377734,1420863,1475749,1571009,1655687,1735064,1842918,1996563,2133679,2236879,2294727,2398919,2500273,2689736,2819731,3000733,3083806,3191919,3121673,3143862,2846533,2980473,3483310,3676059,3826111,3863498,4003230,4179530
 "10998","Delaware (Metropolitan Portion)",2,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",67046,71061,80153,91584,118163,132532,137910,149233,161338,181839,210790,236791,277805,306174,329277,357379,405623,443555,487427,557144,619683,645342,680756,698620,727089,778081,827113,870533,920877,1003989,1077627,1130197,1169459,1226804,1282112,1378359,1453753,1551790,1603400,1657735,1625833,1640583,1305247,1372838,1833600,1915901,2006230,2053932,2137954,2263191
 "10998","Delaware (Metropolitan Portion)",2,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",72351,76168,87493,104386,134753,149045,154981,175544,189824,219490,249153,273588,312820,341320,374116,421996,459206,489656,528899,592070,642303,666587,696978,722243,748660,792928,828574,864531,922041,992574,1056052,1106682,1125268,1172115,1218161,1311377,1365978,1448943,1480406,1534184,1495840,1503279,1541286,1607635,1649710,1760158,1819881,1809566,1865276,1916339
 "10998","Delaware (Metropolitan Portion)",2,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-28481,-30764,-46396,-53704,-75550,-79866,-89984,-99025,-114001,-138242,-156237,-192787,-211025,-243266,-289448,-327989,-369862,-397882,-466376,-524870,-617545,-688026,-681434,-724578,-680548,-721939,-847873,-1048594,-1345475,-1455860,-1695988,-1789987,-1809296,-1760700,-1800416,-1940173,-2088683,-2320772,-2166173,-2216268,-1541088,-1734269,-2154167,-2165278,-2100617,-2469421,-2628447,-2285639,-2382121,-2096627
 "10998","Delaware (Metropolitan Portion)",2,CAINC4,45,"...","Equals: Net earnings by place of residence","Thousands of dollars",1887209,1992513,2183853,2415422,2678993,2849685,3025337,3303296,3524479,3889640,4236381,4627369,4954523,5319772,5707395,6268330,6832872,7247152,7901334,8633162,9404395,9902927,10367434,10855162,11206621,11691653,12199949,12891050,13539970,15144826,16783526,18491644,20970144,21616995,21968945,22520987,22876992,23789087,24121447,22816703,23301516,23378316,25527451,25456385,25638654,26507860,27795079,28164711,29132262,30537677
 "10998","Delaware (Metropolitan Portion)",2,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",415303,442508,466120,494457,534984,594213,595869,661911,739153,811892,907357,1107721,1357322,1483368,1538646,1754964,1903046,2030050,2168002,2386324,2884793,3023278,3154722,3176891,3312148,3403791,3710073,4035590,4267497,4657977,4572336,5101680,5064644,5141390,5229961,5661654,5904270,6580193,6911725,7058949,6351161,6188926,6825464,7234093,7273111,7885797,8309998,8458230,9072424,9781617
 "10998","Delaware (Metropolitan Portion)",2,CAINC4,47,"...","Plus: Personal current transfer receipts","Thousands of dollars",138681,164910,194115,215069,248323,303169,408019,438775,477489,500058,573205,695418,782286,830983,885591,949247,997921,1079644,1124853,1236874,1341503,1440916,1674121,1822292,1947987,2069864,2261932,2507216,2534785,2699493,2814358,3070488,3367644,3628433,3895662,4194064,4521849,4896220,5307380,6117586,6631491,7158416,7472706,7647964,8037684,8494622,9045651,9419166,9984272,10463815
 "10998","Delaware (Metropolitan Portion)",2,CAINC4,50,"...","Wages and salaries","Thousands of dollars",1626974,1750835,1911246,2102230,2346413,2523755,2627756,2856618,3078991,3423178,3760229,4171765,4491713,4835452,5165344,5632472,6124157,6472639,7162142,7847776,8555778,9023751,9296435,9571809,9882167,10354187,11065117,11879058,12751712,13830613,14764643,15656198,16379849,16737029,17343887,18393118,19544482,20477819,20987505,21110190,20181197,20427846,21330265,22034824,22596771,23621779,24485776,24647916,25785093,26596112
 "10998","Delaware (Metropolitan Portion)",2,CAINC4,60,"...","Supplements to wages and salaries","Thousands of dollars",194300,208631,252726,291154,332117,361883,428632,479620,542856,609931,689702,790260,865718,968729,1086199,1189242,1329368,1462700,1559560,1711162,1910523,2018295,2134056,2321293,2424529,2522058,2595028,2721883,2867954,3054406,3215250,3473122,3628773,3824525,4043503,4325342,4614211,5048797,5137348,5172210,5044563,5104836,5393468,5430849,5465490,5790048,6064408,5986452,5954124,6217118
 "10998","Delaware (Metropolitan Portion)",2,CAINC4,61,"..."," Employer contributions for employee pension and insurance funds 8/","Thousands of dollars",121949,132463,165233,186768,197364,212838,273651,304076,353032,390441,440549,516672,552898,627409,712083,767246,870162,973044,1030661,1119092,1268220,1351708,1437078,1599050,1675869,1729130,1766454,1857352,1945913,2061832,2159198,2366440,2503505,2652410,2825342,3013965,3248233,3599854,3656942,3638026,3548723,3601557,3852182,3823214,3815780,4029890,4244527,4176886,4088848,4300779
 "10998","Delaware (Metropolitan Portion)",2,CAINC4,62,"..."," Employer contributions for government social insurance","Thousands of dollars",72351,76168,87493,104386,134753,149045,154981,175544,189824,219490,249153,273588,312820,341320,374116,421996,459206,489656,528899,592070,642303,666587,696978,722243,748660,792928,828574,864531,922041,992574,1056052,1106682,1125268,1172115,1218161,1311377,1365978,1448943,1480406,1534184,1495840,1503279,1541286,1607635,1649710,1760158,1819881,1809566,1865276,1916339
 "10998","Delaware (Metropolitan Portion)",2,CAINC4,70,"...","Proprietors' income 9/","Thousands of dollars",233813,211040,233923,271712,328929,325490,351824,390860,367795,396102,402630,368510,398742,406351,448693,553980,614038,642906,662334,748308,817625,860836,996111,1107501,1056222,1108356,1043364,1073767,1108697,1712230,2633300,3389190,5065545,5215060,4882244,4432436,3626713,3583976,3246573,1942490,2738517,2723765,3804418,3136463,3160320,3241513,3699453,3679480,3778396,4000604
 "10998","Delaware (Metropolitan Portion)",2,CAINC4,71,"..."," Farm proprietors' income","Thousands of dollars",46224,24637,28316,38950,86084,71488,81139,72622,44099,42073,34022,-8084,22058,43626,57701,75393,83220,124147,93989,159348,169016,114678,107668,92295,81399,94409,56342,88082,59975,107396,109317,112874,176327,45482,137270,217276,261079,173905,170680,191124,259288,228374,201128,241703,391020,455398,330358,282598,469530,498572
 "10998","Delaware (Metropolitan Portion)",2,CAINC4,72,"..."," Nonfarm proprietors' income","Thousands of dollars",187589,186403,205607,232762,242845,254002,270685,318238,323696,354029,368608,376594,376684,362725,390992,478587,530818,518759,568345,588960,648609,746158,888443,1015206,974823,1013947,987022,985685,1048722,1604834,2523983,3276316,4889218,5169578,4744974,4215160,3365634,3410071,3075893,1751366,2479229,2495391,3603290,2894760,2769300,2786115,3369095,3396882,3308866,3502032
 "10998","Delaware (Metropolitan Portion)",2,CAINC4,7010,"...","Total employment","Number of jobs",270578,274587,280122,292813,304918,301531,292148,295771,296352,304289,311835,311674,313583,316547,325291,339928,356873,370177,386540,402702,414670,420105,414316,413155,420651,424325,442453,452685,464460,476426,491018,503458,502735,500640,504099,518103,528674,537109,544949,544911,525634,522400,530400,534261,544797,556517,568879,578596,586045,595526
 "10998","Delaware (Metropolitan Portion)",2,CAINC4,7020,"..."," Wage and salary employment","Number of jobs",243740,246895,252535,263282,275413,272254,262267,266472,266852,273526,280537,280480,281055,281896,289250,302742,316232,326639,343962,356311,367268,370346,363825,363117,369912,376628,387425,395285,406061,417879,429712,437114,435790,431374,431320,440381,445858,450363,451163,450700,428633,426000,429319,433059,441311,450718,459147,464103,466924,472353
 "10998","Delaware (Metropolitan Portion)",2,CAINC4,7040,"..."," Proprietors employment","Number of jobs",26838,27692,27587,29531,29505,29277,29881,29299,29500,30763,31298,31194,32528,34651,36041,37186,40641,43538,42578,46391,47402,49759,50491,50038,50739,47697,55028,57400,58399,58547,61306,66344,66945,69266,72779,77722,82816,86746,93786,94211,97001,96400,101081,101202,103486,105799,109732,114493,119121,123173
 "10999","Delaware (Nonmetropolitan Portion) *",2,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "10999","Delaware (Nonmetropolitan Portion) *",2,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "10999","Delaware (Nonmetropolitan Portion) *",2,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "10999","Delaware (Nonmetropolitan Portion) *",2,CAINC4,20,"...","Population (persons) 3/","Number of persons",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "10999","Delaware (Nonmetropolitan Portion) *",2,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "10999","Delaware (Nonmetropolitan Portion) *",2,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "10999","Delaware (Nonmetropolitan Portion) *",2,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "10999","Delaware (Nonmetropolitan Portion) *",2,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "10999","Delaware (Nonmetropolitan Portion) *",2,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "10999","Delaware (Nonmetropolitan Portion) *",2,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
